Country (or dependency),Population (2020),Land Area (Km²),Migrants (net)
Aruba,106845,180,201
Tonga,105901,720,-800
U.S. Virgin Islands,104398,350,-451
Seychelles,98453,460,-200
Antigua and Barbuda,98069,440,0
Isle of Man,85112,570,
Andorra,77287,470,
Dominica,72017,750,
Cayman Islands,65854,240,
Bermuda,62237,50,
Marshall Islands,59259,180,
Northern Mariana Islands,57619,460,
Greenland,56787,410450,
American Samoa,55169,200,
Saint Kitts & Nevis,53264,260,
Faeroe Islands,48896,1396,
Sint Maarten,42960,34,
Monaco,39290,1,
Turks and Caicos,38806,950,
Saint Martin,38778,53,
Liechtenstein,38147,160,
San Marino,33944,60,
Gibraltar,33689,10,
British Virgin Islands,30266,150,
Caribbean Netherlands,26265,328,
Palau,18109,460,
Cook Islands,17567,240,
Anguilla,15026,90,
Tuvalu,11817,30,
Wallis & Futuna,11203,140,
Nauru,10836,20,
Saint Barthelemy,9882,21,
Saint Helena,6080,390,
Saint Pierre & Miquelon,5789,230,
Montserrat,4993,100,
Falkland Islands,3497,12170,
Niue,1628,260,
Tokelau,1360,10,
Holy See,801,0,
